feature,importance
oldpeak,0.1402466330712091
ca,0.12873312571074547
cp,0.12021528939923229
thal,0.1105171332739708
thalach,0.10703779612484532
exang,0.08189825746763033
age,0.0796089866032292
trestbps,0.0633372110124679
chol,0.06211329197366292
slope,0.04738978555646448
sex,0.03829325303760047
restecg,0.014441605171574355
fbs,0.006167631597367518
